Date,18z,06z,Actual
2020-05-27,NaN,16.7,13.6
2020-05-28,17.9,17.6,15.9
2020-05-29,14.4,16.0,16.0
2020-05-30,14.9,15.7,14.5
2020-05-31,11.8,14.1,12.9
2020-06-01,18.2,18.3,18.5
2020-06-02,15.8,16.5,16.6
2020-06-03,17.5,18.1,15.0
2020-06-04,22.9,23.8,22.8
2020-06-05,15.4,18.3,19.0
2020-06-06,22.9,22.8,23.7
2020-06-07,24.0,24.4,26.2
2020-06-08,21.8,20.1,17.0
2020-06-09,20.7,18.5,19.8
2020-06-10,19.0,16.4,20.4
2020-06-11,22.0,22.0,20.8
2020-06-12,22.8,21.7,22.6
2020-06-13,24.7,24.6,25.6
2020-06-14,24.0,24.1,24.8
2020-06-15,19.0,19.8,22.1
2020-06-16,19.7,18.9,19.2
2020-06-17,20.7,20.5,20.8
2020-06-18,20.6,19.1,22.7
2020-06-19,22.2,22.2,18.8
2020-06-20,18.1,18.8,18.6
2020-06-21,17.4,16.7,16.9
2020-06-22,20.2,20.2,21.4
2020-06-23,22.0,22.0,22.5
2020-06-24,21.2,21.7,22.2
2020-06-25,23.3,24.1,24.7
2020-06-26,28.0,27.0,28.5
2020-06-27,28.7,29.4,30.0
2020-06-28,28.7,30.1,30.4
2020-06-29,22.8,23.6,19.0
2020-06-30,25.0,25.7,26.1
2020-07-01,29.4,29.0,29.7
2020-07-02,25.8,24.3,22.9
2020-07-03,23.2,24.3,22.5
2020-07-04,23.5,24.1,25.4
