Date,18z,06z,Actual
2020-05-27,NaN,19.8,19.4
2020-05-28,15.1,15.5,15.5
2020-05-29,17.0,17.5,18.6
2020-05-30,17.6,17.7,18.0
2020-05-31,17.5,17.2,18.0
2020-06-01,20.5,20.8,21.5
2020-06-02,18.5,18.3,16.4
2020-06-03,20.2,19.7,20.8
2020-06-04,17.8,17.1,16.9
2020-06-05,17.3,17.7,18.5
2020-06-06,21.8,21.3,21.4
2020-06-07,20.0,20.3,20.1
2020-06-08,19.0,18.7,18.6
2020-06-09,19.3,18.9,20.5
2020-06-10,18.3,16.7,17.2
2020-06-11,17.6,18.0,19.7
2020-06-12,19.3,19.4,22.1
2020-06-13,20.8,21.6,23.2
2020-06-14,18.0,18.9,20.4
2020-06-15,19.8,17.6,20.4
2020-06-16,21.7,19.6,22.0
2020-06-17,20.4,20.7,22.8
2020-06-18,20.3,20.8,21.7
2020-06-19,21.1,21.2,19.1
2020-06-20,21.5,20.9,23.9
2020-06-21,22.0,20.9,21.9
2020-06-22,25.5,25.8,27.7
2020-06-23,24.8,24.5,25.7
