Date,18z,06z,Actual
2020-05-27,NaN,19.3,19.4
2020-05-28,20.6,19.7,23.8
2020-05-29,19.0,18.7,19.6
2020-05-30,17.4,17.3,17.2
2020-05-31,18.4,18.7,18.2
2020-06-01,20.2,19.9,20.6
2020-06-02,22.1,22.0,23.4
2020-06-03,19.9,21.1,22.4
2020-06-04,20.7,20.5,20.0
2020-06-05,17.0,17.5,17.4
2020-06-06,21.6,20.7,21.9
2020-06-07,21.5,21.8,23.1
2020-06-08,20.1,21.4,21.4
2020-06-09,21.4,21.2,22.4
2020-06-10,19.9,19.9,21.7
2020-06-11,19.8,20.2,20.7
2020-06-12,21.3,21.0,22.6
2020-06-13,22.7,21.9,22.7
2020-06-14,21.4,22.1,24.0
2020-06-15,20.4,20.1,21.6
2020-06-16,22.3,18.6,22.4
2020-06-17,21.1,21.6,22.3
2020-06-18,22.6,21.9,24.2
2020-06-19,22.6,23.1,24.0
2020-06-20,22.8,21.8,22.0
2020-06-21,21.8,21.4,22.3
2020-06-22,20.6,23.6,24.0
2020-06-23,25.1,25.6,26.1
2020-06-24,23.6,23.9,26.8
2020-06-25,24.8,25.0,27.4
2020-06-26,25.4,25.8,27.4
2020-06-27,26.3,26.2,27.9
2020-06-28,25.2,25.9,30.7
2020-06-29,26.2,27.2,29.3
2020-06-30,26.9,27.1,29.4
2020-07-01,27.3,28.5,29.8
