Date,18z,06z,Actual
2020-05-27,NaN,18.9,19.8
2020-05-28,15.4,15.7,15.9
2020-05-29,16.9,17.3,17.8
2020-05-30,16.4,17.0,15.7
2020-05-31,15.0,13.8,15.0
2020-06-01,19.9,20.1,21.6
2020-06-02,18.6,18.7,20.9
2020-06-03,19.2,19.0,15.1
2020-06-04,19.8,19.1,20.0
2020-06-05,19.0,19.5,18.8
2020-06-06,22.2,23.4,23.9
2020-06-07,23.1,23.6,23.8
2020-06-08,19.0,17.9,19.6
2020-06-09,17.8,18.4,18.3
2020-06-10,21.5,17.8,18.2
2020-06-11,21.7,22.1,22.7
2020-06-12,22.9,23.5,25.1
2020-06-13,25.1,24.8,27.3
2020-06-14,22.1,23.1,22.2
2020-06-15,20.4,18.6,18.2
2020-06-16,22.7,20.6,21.5
2020-06-17,21.0,21.0,22.7
2020-06-18,19.7,20.9,24.6
2020-06-19,18.9,21.6,17.8
2020-06-20,20.1,18.1,19.6
2020-06-21,19.6,18.3,19.9
2020-06-22,24.1,24.1,25.9
2020-06-23,23.3,23.5,24.3
2020-06-24,23.2,23.6,23.9
2020-06-25,24.3,23.9,23.6
2020-06-26,27.6,27.6,27.3
2020-06-27,28.5,28.6,29.7
2020-06-28,29.4,29.5,29.7
2020-06-29,22.0,21.8,22.4
2020-06-30,25.4,27.8,27.7
2020-07-01,29.1,28.3,30.1
2020-07-02,27.2,28.7,26.7
2020-07-03,21.2,21.3,20.9
2020-07-04,25.3,25.1,24.9
2020-07-05,26.7,27.0,27.7
2020-07-06,27.8,28.5,28.9
2020-07-07,21.2,21.9,21.9
2020-07-08,24.7,24.4,25.0
2020-07-09,26.7,27.8,27.8
2020-07-10,28.7,28.7,28.4
2020-07-11,19.4,18.8,17.3
2020-07-12,21.9,22.2,21.4
2020-07-13,22.8,22.8,22.7
2020-07-14,22.9,22.9,22.3
2020-07-15,24.7,24.7,24.7
2020-07-16,23.0,21.2,22.9
2020-07-17,19.2,17.1,16.6
2020-07-18,20.0,19.3,19.1
2020-07-19,23.3,23.5,23.0
2020-07-20,26.4,26.2,27.0
2020-07-21,28.4,28.8,29.0
2020-07-22,25.6,22.4,23.6
2020-07-23,25.1,24.6,24.2
2020-07-24,21.9,21.4,23.9
2020-07-25,24.0,22.9,22.0
2020-07-26,26.2,23.4,19.5
2020-07-27,26.5,27.0,27.1
2020-07-28,30.3,30.0,29.8
2020-07-29,27.9,29.7,29.6
